16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_eval_clean.json']
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][246/38750]	Loss 0.9755	Cer 232.3185
Epoch: [1][247/38750]	Loss 1.4312	Cer 214.2361
Epoch: [1][248/38750]	Loss 1.6786	Cer 138.7863
Epoch: [1][249/38750]	Loss 1.1585	Cer 229.0064
Epoch: [1][250/38750]	Loss 1.4799	Cer 185.2130
Epoch: [1][251/38750]	Loss 1.0022	Cer 278.7234
Epoch: [1][252/38750]	Loss 1.5437	Cer 213.7255
Epoch: [1][253/38750]	Loss 1.4019	Cer 178.4530
Epoch: [1][254/38750]	Loss 1.2508	Cer 261.2565
Epoch: [1][255/38750]	Loss 1.2701	Cer 246.6403
Epoch: [1][256/38750]	Loss 1.2757	Cer 233.1950
Epoch: [1][257/38750]	Loss 1.4325	Cer 206.1972
Epoch: [1][258/38750]	Loss 1.2357	Cer 238.6417
Epoch: [1][259/38750]	Loss 0.9234	Cer 262.2103
Epoch: [1][260/38750]	Loss 1.2562	Cer 181.3525
Epoch: [1][261/38750]	Loss 1.3487	Cer 206.6975
Epoch: [1][262/38750]	Loss 0.6681	Cer 421.4834
Epoch: [1][263/38750]	Loss 1.7488	Cer 207.6667
Epoch: [1][264/38750]	Loss 1.4207	Cer 202.4272
Epoch: [1][265/38750]	Loss 1.4114	Cer 219.3846
Epoch: [1][266/38750]	Loss 1.1863	Cer 250.6849
Epoch: [1][267/38750]	Loss 1.4432	Cer 193.7615
Epoch: [1][268/38750]	Loss 1.0612	Cer 225.3521
Epoch: [1][269/38750]	Loss 0.7360	Cer 429.0323
Epoch: [1][270/38750]	Loss 1.5290	Cer 200.0000
Epoch: [1][271/38750]	Loss 1.6015	Cer 193.5849
Epoch: [1][272/38750]	Loss 0.9087	Cer 399.7955
Epoch: [1][273/38750]	Loss 0.7636	Cer 454.8902
Epoch: [1][274/38750]	Loss 1.3529	Cer 240.6504
Epoch: [1][275/38750]	Loss 1.2033	Cer 261.2613
Epoch: [1][276/38750]	Loss 1.0507	Cer 334.3434
Epoch: [1][277/38750]	Loss 1.4760	Cer 189.2105
Epoch: [1][278/38750]	Loss 1.1789	Cer 298.3834
Epoch: [1][279/38750]	Loss 1.5078	Cer 166.1572
